gene_symbol	GSM4037819_hair_cell_mean	GSM4037820_hair_cell_mean	cochlear_hair_cell_expression	hair_cell_sample_count	hair_cell_developmental_consistency
SLC25A34	-0.0976886578185973	-0.0984563357349133	-0.09807249677675531	2	0.9993008859446262
RP11-169K16.4		-0.0285066351832938	-0.0285066351832938	1	1.0
FBLIM1	0.242238935749648	0.60419207380149	0.423215504775569	2	0.7456793178283148
UQCRHL	0.0576011099297148	0.415061296468651	0.23633120319918288	2	0.7108702056423415
FLJ37453	0.206729837066787	0.314891555237531	0.260810696152159	2	0.9142125629955072
SPEN	0.188738029896715	-0.0806577140302582	0.0540401579332284	2	0.744416052937483
ZBTB17	-0.200044163711275	-0.0354643983575331	-0.11775428103440405	2	0.8527585461793671
C1orf64	-0.102490063421864	-0.152345859058332	-0.127417961240098	2	0.9557787818267244
HSPB7	-0.354616073529869	-0.0775064272797814	-0.2160612504048252	2	0.7721252558965774
CLCNKA	-0.530001504416884	-0.047553663435217	-0.28877758392605046	2	0.6256546924784583
CLCNKB	-0.450850444647279	-0.0370586719282569	-0.24395455828776796	2	0.6673578066319539
FAM131C	-0.199732751897965	-0.0415670787466018	-0.12064991532228339	2	0.858862548429429
EPHA2	0.00595152825063839	-0.0194460872591268	-0.0067472795042442055	2	0.9747726008037769
RP11-276H7.2		-0.0366994437172773	-0.0366994437172773	1	1.0
ARHGEF19	-0.184663093848297	-0.16350914907112	-0.17408612145970848	2	0.9819826293910392
RSG1	0.110980718874902	-0.10604360180873	0.0024685585330860016	2	0.7835100973129729
FBXO42	0.0920180732169995	0.108629502689723	0.10032378795336125	2	0.9849031442793568
SZRD1	-0.139947790228052	0.059570937774908	-0.040188426226572004	2	0.8081898212165829
SPATA21		-0.016481381709951	-0.016481381709951	1	1.0
NECAP2	-0.163449997578395	0.0701710563434808	-0.04663947061745711	2	0.7767893716218701
RP4-798A10.2	0.0992621173758769	0.160112815572115	0.12968746647399595	2	0.9461349266924537
RP4-798A10.7	0.454780937289633	1.3421516702251	0.8984663037573665	2	0.5325854711357165
RP4-798A10.4	-0.060110649970977	-0.00865894814965016	-0.03438479906031358	2	0.9502586446861283
RP5-875O13.1	-0.0286398705009928	-0.0191663971464242	-0.0239031338237085	2	0.9907476859464328
NBPF1	0.380495784953728	0.433867096334591	0.4071814406441595	2	0.9620721892434628
RP5-1182A14.5		-0.0247500191260815	-0.0247500191260815	1	1.0
CROCC	-0.0893748967992806	-0.29156962945469	-0.1904722631269853	2	0.8301558642581817
RP11-108M9.3	-0.0649710459168339	1.03543225448141	0.4852306042822881	2	0.25910272975421555
RP11-108M9.4	-0.208524959182726	-0.13208467721179	-0.170304818197258	2	0.934683442482374
RP11-108M9.6	0.209644010824757	-0.0732338248515181	0.06820509298661945	2	0.7351839665121138
MFAP2	-1.01922399946128	-0.963815562839756	-0.991519781150518	2	0.9721778125700996
ATP13A2	0.200278203555066	0.53131255173936	0.365795377647213	2	0.7576252243915554
SDHB	0.237152695494106	-0.100033501041678	0.06855959722621399	2	0.6844479265255228
PADI2	-0.330829064547243	2.14708016476023	0.9081255501064934	2	0.0
PADI4		-0.0280363200676712	-0.0280363200676712	1	1.0
RCC2	-0.174468928081105	-0.122216995466107	-0.148342961773606	2	0.9544979728579558
ARHGEF10L	-0.397385880824705	-0.148331482274041	-0.272858681549373	2	0.8043346035496216
IGSF21	-0.159693476483775	-0.208464383172731	-0.184078929828253	2	0.9588111016416532
KLHDC7A	-0.160567036984755	-0.0452436743575839	-0.10290535567116944	2	0.8954367552626568
ALDH4A1	0.201983821009149	0.332465376239996	0.2672245986245725	2	0.8970335997482453
IFFO2	-0.0572636749506677	-0.102319333006485	-0.07979150397857634	2	0.9582737427644076
UBR4	0.166635042579582	0.998609570652957	0.5826223066162695	2	0.4743063303257865
RP1-43E13.2	-0.12442374555604	-0.0576956497668724	-0.09105969766145619	2	0.9388410222353639
EMC1	0.931657476189584	2.20819294808885	1.569925212139217	2	0.5032791359571619
MRTO4	0.0121407449004807	-0.076127694635972	-0.031993474867745654	2	0.9144680255388585
AKR7A3	2.56392726861568	2.39780475946516	2.48086601404042	2	0.9522755232518435
